joint1,joint2,joint3,joint4,x,y,z
1.5707,1.0636,-0.1887,0.7119,-214.75,0,0
1.5707,1.0636,-0.1887,0.7119,-214.75,0,0
1.5707,1.0636,-0.1887,0.7119,-214.75,0,0
1.5707,1.0636,-0.1887,0.7119,-214.75,0,0
1.5707,1.0635,-0.1887,0.7119,-214.75,0,0
1.5707,1.0635,-0.1887,0.7119,-214.75,0,0
1.5707,1.0635,-0.1887,0.7119,-214.75,0,0
1.5707,1.0635,-0.1887,0.7119,-214.75,0,0
1.5707,1.0635,-0.1887,0.7119,-214.75,0,0
1.5708,1.0634,-0.1887,0.7119,-214.75,0,0
1.5708,1.0634,-0.1887,0.7119,-214.75,0,0
1.5708,1.0635,-0.1887,0.7119,-214.75,0,0
1.5708,1.0634,-0.1887,0.7119,-214.75,0,0
1.5708,1.0634,-0.1887,0.7119,-214.75,0,0
1.5708,1.0634,-0.1887,0.7119,-214.75,0,0
1.5708,1.0634,-0.1887,0.7119,-214.75,0,0
1.5708,1.0634,-0.1887,0.7118,-214.75,0,0
1.5708,1.0634,-0.1887,0.7118,-214.75,0,0
1.5707,1.0635,-0.1887,0.7118,-214.75,0,0
1.5707,1.0634,-0.1887,0.7118,-214.75,0,0
1.5707,1.0635,-0.1887,0.7118,-214.75,0,0
1.5707,1.0635,-0.1887,0.7118,-214.75,0,0
1.5707,1.0635,-0.1887,0.7118,-214.75,0,0
1.5707,1.0634,-0.1887,0.7118,-214.75,0,0
1.5707,1.0634,-0.1887,0.7118,-214.75,0,0
1.5707,1.0634,-0.1887,0.7118,-214.75,0,0
1.5707,1.0634,-0.1887,0.7118,-214.75,0,0
1.5707,1.0634,-0.1887,0.7118,-214.75,0,0
1.5707,1.0634,-0.1887,0.7118,-214.75,0,0
1.5707,1.0634,-0.1887,0.7118,-214.75,0,0
1.5707,1.0634,-0.1887,0.7118,-214.75,0,0
1.5707,1.0634,-0.1887,0.7118,-214.75,0,0
1.5707,1.0634,-0.1887,0.7118,-214.75,0,0
1.5707,1.0634,-0.1887,0.7118,-214.75,0,0
1.5707,1.0634,-0.1887,0.7118,-214.75,0,0
1.5707,1.0634,-0.1887,0.7118,-214.75,0,0
1.5707,1.0634,-0.1887,0.7118,-214.75,0,0
1.5707,1.0634,-0.1887,0.7118,-214.75,0,0
1.5707,1.0634,-0.1887,0.7118,-214.75,0,0
1.5707,1.0634,-0.1887,0.7118,-214.75,0,0
1.5707,1.0634,-0.1887,0.7118,-214.75,0,0
1.5707,1.0634,-0.1887,0.7118,-214.75,0,0
1.5707,1.0634,-0.1887,0.7118,-214.75,0,0
1.5707,1.0634,-0.1887,0.7118,-214.75,0,0
1.5707,1.0634,-0.1887,0.7118,-214.75,0,0
1.5707,1.0634,-0.1887,0.7118,-214.75,0,0
1.5707,1.0634,-0.1886,0.7118,-214.75,0,0
1.5707,1.0634,-0.1886,0.7118,-214.75,0,0
1.5707,1.0634,-0.1886,0.7118,-214.75,0,0
1.5707,1.0634,-0.1886,0.7119,-214.75,0,0
1.5707,1.0634,-0.1886,0.7119,-214.75,0,0
1.5707,1.0635,-0.1886,0.7119,-214.75,0,0
1.5707,1.0635,-0.1886,0.7119,-214.75,0,0
1.5706,1.0635,-0.1886,0.7119,-214.75,0,0
1.5706,1.0635,-0.1886,0.7119,-214.75,0,0
1.5706,1.0635,-0.1886,0.7119,-214.75,0,0
1.5706,1.0635,-0.1886,0.7119,-214.75,0,0
1.5706,1.0635,-0.1886,0.7119,-214.75,0,0
1.5706,1.0635,-0.1886,0.7119,-214.75,0,0
1.5706,1.0635,-0.1886,0.7119,-214.75,0,0
1.5706,1.0635,-0.1886,0.7119,-214.75,0,0
1.5706,1.0635,-0.1886,0.7119,-214.75,0,0
1.5706,1.0635,-0.1886,0.7119,-214.75,0,0
1.5706,1.0635,-0.1886,0.7119,-214.75,0,0
1.5706,1.0635,-0.1886,0.7119,-214.75,0,0
1.5706,1.0635,-0.1886,0.7119,-214.75,0,0
1.5706,1.0635,-0.1886,0.7119,-214.75,0,0
1.5706,1.0635,-0.1886,0.7119,-214.75,0,0
1.5706,1.0635,-0.1886,0.7119,-214.75,0,0
1.5706,1.0635,-0.1886,0.7119,-214.75,0,0
1.5706,1.0635,-0.1886,0.7119,-214.75,0,0
1.5706,1.0635,-0.1886,0.7119,-214.75,0,0
1.5706,1.0635,-0.1886,0.7119,-214.75,0,0
1.5706,1.0636,-0.1886,0.7119,-214.75,0,0
1.5706,1.0636,-0.1886,0.7119,-214.75,0,0
1.5706,1.0635,-0.1886,0.7119,-214.75,0,0
1.5706,1.0636,-0.1886,0.7119,-214.75,0,0
1.5706,1.0636,-0.1886,0.7119,-214.75,0,0
1.5706,1.0636,-0.1886,0.7119,-214.75,0,0
1.5706,1.0636,-0.1886,0.7118,-214.75,0,0
1.5706,1.0636,-0.1886,0.7118,-214.75,0,0
1.5706,1.0636,-0.1886,0.7118,-214.75,0,0
1.5706,1.0636,-0.1886,0.7118,-214.75,0,0
1.5706,1.0636,-0.1886,0.7118,-214.75,0,0
1.5706,1.0636,-0.1886,0.7118,-214.75,0,0
1.5706,1.0636,-0.1886,0.7118,-214.75,0,0
1.5706,1.0636,-0.1886,0.7118,-214.75,0,0
1.5706,1.0636,-0.1886,0.7118,-214.75,0,0
1.5706,1.0636,-0.1886,0.7118,-214.75,0,0
1.5706,1.0636,-0.1886,0.7118,-214.75,0,0
1.5706,1.0635,-0.1886,0.7118,-214.75,0,0
1.5706,1.0635,-0.1886,0.7118,-214.75,0,0
1.5706,1.0635,-0.1886,0.7118,-214.75,0,0
1.5706,1.0635,-0.1886,0.7118,-214.75,0,0
1.5706,1.0636,-0.1886,0.7118,-214.75,0,0
1.5706,1.0636,-0.1886,0.7118,-214.75,0,0
1.5706,1.0636,-0.1887,0.7118,-214.75,0,0
1.5706,1.0636,-0.1887,0.7118,-214.75,0,0
1.5706,1.0636,-0.1887,0.7118,-214.75,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3975,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5693,0.8529,0.3974,0.3206,-163.25,0,0
1.5685,0.8022,0.846,-0.0661,-111.75,0,0
1.5685,0.8022,0.846,-0.066,-111.75,0,0
1.5685,0.8022,0.846,-0.066,-111.75,0,0
1.5684,0.8022,0.846,-0.066,-111.75,0,0
1.5684,0.8022,0.8459,-0.066,-111.75,0,0
1.5684,0.8022,0.846,-0.066,-111.75,0,0
1.5684,0.8022,0.846,-0.066,-111.75,0,0
1.5685,0.8022,0.846,-0.066,-111.75,0,0
1.5684,0.8022,0.846,-0.066,-111.75,0,0
1.5684,0.8022,0.8461,-0.066,-111.75,0,0
1.5684,0.8022,0.8461,-0.066,-111.75,0,0
1.5684,0.8022,0.8461,-0.066,-111.75,0,0
1.5684,0.8022,0.8461,-0.066,-111.75,0,0
1.5684,0.8022,0.8461,-0.066,-111.75,0,0
1.5683,0.8022,0.846,-0.066,-111.75,0,0
1.5683,0.8022,0.8461,-0.066,-111.75,0,0
1.5683,0.8022,0.8461,-0.066,-111.75,0,0
1.5683,0.8022,0.846,-0.066,-111.75,0,0
1.5684,0.8022,0.846,-0.066,-111.75,0,0
1.5684,0.8022,0.846,-0.066,-111.75,0,0
1.5683,0.8022,0.846,-0.066,-111.75,0,0
1.5683,0.8022,0.846,-0.066,-111.75,0,0
1.5684,0.8022,0.846,-0.066,-111.75,0,0
1.5684,0.8022,0.846,-0.066,-111.75,0,0
1.5684,0.8022,0.846,-0.066,-111.75,0,0
1.5684,0.8022,0.846,-0.066,-111.75,0,0
1.5684,0.8022,0.846,-0.066,-111.75,0,0
1.5684,0.8022,0.846,-0.066,-111.75,0,0
1.5684,0.8022,0.846,-0.066,-111.75,0,0
1.5684,0.8022,0.8459,-0.066,-111.75,0,0
1.5684,0.8022,0.8459,-0.066,-111.75,0,0
1.5684,0.8022,0.8459,-0.066,-111.75,0,0
1.5684,0.8022,0.846,-0.066,-111.75,0,0
1.5683,0.8022,0.8459,-0.066,-111.75,0,0
1.5683,0.8022,0.8459,-0.066,-111.75,0,0
1.5683,0.8022,0.8459,-0.066,-111.75,0,0
1.5683,0.8022,0.8459,-0.066,-111.75,0,0
1.5683,0.8022,0.8459,-0.066,-111.75,0,0
1.5683,0.8022,0.8459,-0.066,-111.75,0,0
1.5683,0.8022,0.8459,-0.066,-111.75,0,0
1.5683,0.8022,0.8459,-0.066,-111.75,0,0
1.5683,0.8021,0.8459,-0.066,-111.75,0,0
1.5683,0.8021,0.8459,-0.066,-111.75,0,0
1.5683,0.8021,0.8459,-0.066,-111.75,0,0
1.5683,0.8021,0.8459,-0.0661,-111.75,0,0
1.5683,0.8021,0.846,-0.0661,-111.75,0,0
1.5683,0.8021,0.846,-0.0661,-111.75,0,0
1.5683,0.8021,0.846,-0.0661,-111.75,0,0
1.5683,0.8021,0.846,-0.0661,-111.75,0,0
1.5683,0.8021,0.846,-0.0661,-111.75,0,0
1.5683,0.8022,0.846,-0.0661,-111.75,0,0
1.5684,0.8022,0.846,-0.0661,-111.75,0,0
1.5684,0.8022,0.846,-0.0661,-111.75,0,0
1.5684,0.8022,0.846,-0.0661,-111.75,0,0
1.5684,0.8022,0.846,-0.0661,-111.75,0,0
1.5684,0.8022,0.846,-0.0661,-111.75,0,0
1.5684,0.8022,0.846,-0.0661,-111.75,0,0
1.5683,0.8022,0.846,-0.0661,-111.75,0,0
1.5683,0.8022,0.846,-0.0661,-111.75,0,0
1.5684,0.8022,0.846,-0.0661,-111.75,0,0
1.5684,0.8021,0.846,-0.0661,-111.75,0,0
1.5684,0.8021,0.846,-0.0661,-111.75,0,0
1.5684,0.8021,0.846,-0.0661,-111.75,0,0
1.5684,0.8021,0.846,-0.0661,-111.75,0,0
1.5684,0.8021,0.846,-0.0661,-111.75,0,0
1.5684,0.8021,0.846,-0.0661,-111.75,0,0
1.5684,0.8021,0.846,-0.0661,-111.75,0,0
1.5684,0.8021,0.846,-0.0661,-111.75,0,0
1.5684,0.8021,0.846,-0.0661,-111.75,0,0
1.5685,0.8021,0.846,-0.0661,-111.75,0,0
1.5685,0.8021,0.846,-0.0661,-111.75,0,0
1.5685,0.8021,0.846,-0.0661,-111.75,0,0
1.5684,0.8021,0.846,-0.0661,-111.75,0,0
1.5685,0.8021,0.846,-0.0661,-111.75,0,0
1.5685,0.8021,0.846,-0.0661,-111.75,0,0
1.5685,0.8021,0.846,-0.0661,-111.75,0,0
1.5685,0.8021,0.846,-0.0661,-111.75,0,0
1.5684,0.8021,0.846,-0.0661,-111.75,0,0
1.5684,0.8021,0.846,-0.0661,-111.75,0,0
1.5684,0.8021,0.846,-0.0661,-111.75,0,0
1.5684,0.8021,0.846,-0.0661,-111.75,0,0
1.5684,0.8021,0.846,-0.0661,-111.75,0,0
1.5684,0.8021,0.846,-0.0661,-111.75,0,0
1.5684,0.8021,0.846,-0.0661,-111.75,0,0
1.5684,0.8021,0.846,-0.0661,-111.75,0,0
1.5684,0.8021,0.8461,-0.0661,-111.75,0,0
1.5684,0.8021,0.846,-0.0661,-111.75,0,0
1.5684,0.8021,0.846,-0.0661,-111.75,0,0
1.5684,0.8021,0.846,-0.0661,-111.75,0,0
1.5684,0.8021,0.846,-0.0661,-111.75,0,0
1.5685,0.8021,0.846,-0.0661,-111.75,0,0
1.5685,0.8022,0.846,-0.0661,-111.75,0,0
1.5685,0.8022,0.846,-0.0661,-111.75,0,0
1.5685,0.8022,0.846,-0.0661,-111.75,0,0
1.5685,0.8022,0.846,-0.0661,-111.75,0,0
1.5685,0.8022,0.846,-0.0661,-111.75,0,0
1.5685,0.8022,0.8459,-0.0661,-111.75,0,0
1.5685,0.8022,0.8459,-0.0661,-111.75,0,0
1.5685,0.8022,0.8459,-0.0661,-111.75,0,0
1.5686,0.9956,1.2057,-0.6198,-60.25,0,0
1.5686,0.9956,1.2057,-0.6198,-60.25,0,0
1.5686,0.9956,1.2057,-0.6198,-60.25,0,0
1.5686,0.9956,1.2057,-0.6198,-60.25,0,0
